fecha_hora,tipo_resultado,tipo_animal,raza,color,edad_en_dias,esterilizado,sexo
2013-10-29 17:22:00,Adoption,Dog,Beagle/Chihuahua Longhair,Brown,90,Si,Macho
2014-08-12 10:36:00,Euthanasia,Other,Armadillo Mix,Gray,365,Desconocido,Desconocido
2014-03-21 15:27:00,Euthanasia,Other,Bat,Brown,365,Desconocido,Desconocido
2014-04-01 19:16:00,Return to Owner,Dog,Parson Russell Terrier/Chihuahua Shorthair,White/Brown,1095,Si,Macho
2014-03-20 18:37:00,Euthanasia,Dog,Border Collie Mix,White/Tricolor,5110,Si,Hembra
2014-02-20 14:49:00,Transfer,Other,Rat,Black/White,730,No,Hembra
2014-12-04 17:22:00,Transfer,Dog,German Shepherd Mix,Tan/White,365,Si,Hembra
2014-09-07 15:49:00,Euthanasia,Dog,Staffordshire,Fawn/White,730,Si,Macho
2014-12-13 14:16:00,Adoption,Cat,Domestic Longhair Mix,Brown Tabby,60,Si,Hembra
2014-02-11 15:41:00,Adoption,Dog,Chihuahua Shorthair Mix,White/Tan,365,Si,Macho
2014-08-04 18:20:00,Euthanasia,Dog,Catahoula/Labrador Retriever,Red,2190,Si,Macho
2013-11-30 17:43:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby,365,Si,Macho
2014-09-24 16:46:00,Return to Owner,Dog,Shih Tzu Mix,White/Brown,1825,Si,Macho
2014-03-29 19:29:00,Transfer,Dog,Labrador Retriever Mix,Cream,60,No,Macho
2014-05-13 10:15:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,730,Si,Hembra
2014-10-13 17:05:00,Adoption,Cat,Domestic Shorthair Mix,White/Black,60,Si,Macho
2013-12-24 12:55:00,Transfer,Cat,Domestic Medium Hair Mix,Black/White,150,Si,Macho
2014-01-20 14:25:00,Transfer,Dog,Dachshund Mix,Black/Brown,1825,Si,Macho
2014-11-25 13:29:00,Adoption,Dog,Labrador Retriever Mix,Red/Brown,1460,Si,Macho
2013-11-01 19:24:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby,90,Si,Macho
2014-02-26 15:12:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby,730,Desconocido,Desconocido
2013-12-18 16:14:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby,30,No,Macho
2014-11-30 16:48:00,Euthanasia,Dog,Pit Bull Mix,White/Tan,3285,No,Hembra
2014-06-07 14:02:00,Return to Owner,Dog,American Bulldog Mix,White/Brown Brindle,730,No,Hembra
2014-09-13 15:24:00,Return to Owner,Dog,Chihuahua Shorthair Mix,Brown,3285,Si,Macho
2013-12-24 16:29:00,Euthanasia,Cat,Domestic Shorthair Mix,Brown Tabby/White,2920,No,Hembra
2014-02-22 11:10:00,Transfer,Other,Hamster Mix,Gray/Brown,180,Desconocido,Desconocido
2014-07-23 18:33:00,Adoption,Dog,Border Collie Mix,Black/White,240,Si,Hembra
2014-06-26 12:26:00,Transfer,Dog,Chihuahua Shorthair/Dachshund,Tricolor,365,No,Macho
2014-08-09 15:58:00,Transfer,Cat,Domestic Shorthair Mix,Black/White,21,No,Hembra
2013-10-06 17:41:00,Euthanasia,Other,Raccoon,Brown/Black,28,Desconocido,Desconocido
2014-07-02 19:01:00,Return to Owner,Dog,Dogo Argentino Mix,White/Brown,1460,Si,Macho
2014-10-05 16:12:00,Adoption,Cat,Domestic Shorthair Mix,Black/White,3650,Si,Macho
2013-10-09 18:46:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby,60,No,Hembra
2014-09-30 15:08:00,Euthanasia,Cat,Domestic Shorthair Mix,Blue Tabby/White,21,No,Macho
2014-12-21 17:18:00,Adoption,Dog,Flat Coat Retriever Mix,Black/White,365,Si,Macho
2013-12-05 15:30:00,Adoption,Cat,Domestic Shorthair Mix,Torbie,2920,Si,Hembra
2014-07-19 14:55:00,Euthanasia,Cat,Domestic Shorthair Mix,Orange Tabby/White,28,No,Hembra
2013-11-03 17:15:00,Adoption,Dog,Chihuahua Longhair Mix,Tan,60,Si,Hembra
2014-06-16 12:42:00,Transfer,Cat,Domestic Shorthair Mix,Blue/White,1095,Si,Hembra
2014-02-22 18:22:00,Transfer,Dog,Dachshund Mix,Brown/White,365,Si,Macho
2014-07-12 11:36:00,Adoption,Cat,Domestic Shorthair Mix,Blue Tabby,90,Si,Hembra
2013-12-22 18:09:00,Return to Owner,Dog,Scottish Terrier Mix,Black/White,1095,Si,Hembra
2014-07-12 12:24:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,60,Si,Hembra
2014-11-22 13:23:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby/White,60,Si,Hembra
2014-01-20 17:21:00,Adoption,Dog,Boxer/Pit Bull,Brown/White,330,Si,Hembra
2014-03-19 16:17:00,Return to Owner,Dog,Pit Bull Mix,White/Blue,240,No,Macho
2014-04-28 11:32:00,Adoption,Dog,Labrador Retriever Mix,Black,365,Si,Macho
2013-10-03 15:33:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby/White,150,No,Macho
2014-12-01 12:47:00,Transfer,Dog,Boxer/Labrador Retriever,Black/White,1460,Si,Macho
2014-07-10 17:16:00,Adoption,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,300,Si,Macho
2014-11-09 17:43:00,Adoption,Dog,Australian Shepherd Mix,Tricolor,730,Si,Hembra
2014-10-11 17:56:00,Adoption,Dog,Labrador Retriever,Black,365,Si,Macho
2013-10-28 15:34:00,Transfer,Dog,Shiba Inu Mix,Red/Cream,730,Si,Macho
2014-05-17 12:12:00,Adoption,Dog,German Shepherd/Pembroke Welsh Corgi,Tricolor/Brown,60,Si,Macho
2014-10-18 13:41:00,Return to Owner,Dog,Boxer Mix,Tricolor,1460,Si,Hembra
2014-07-27 16:19:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby,1095,Si,Macho
2013-11-01 08:45:00,Adoption,Dog,Labrador Retriever Mix,Black,60,Si,Macho
2014-10-14 09:00:00,Transfer,Cat,Domestic Shorthair Mix,Silver Tabby,1095,Desconocido,Desconocido
2014-04-25 15:55:00,Transfer,Dog,Pit Bull Mix,White,730,Si,Hembra
2014-05-14 15:30:00,Transfer,Cat,Domestic Shorthair Mix,Blue Tabby,5475,No,Hembra
2014-05-24 17:03:00,Adoption,Dog,Beagle/Pug,White/Brown,30,Si,Macho
2014-03-21 15:40:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,365,Si,Hembra
2014-09-23 15:09:00,Euthanasia,Other,Bat Mix,Brown,1095,Desconocido,Desconocido
2014-06-22 15:11:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby,21,No,Hembra
2014-07-25 16:47:00,Transfer,Cat,Domestic Shorthair Mix,Black,28,No,Hembra
2013-11-11 10:53:00,Return to Owner,Dog,Labrador Retriever,Black,3285,Si,Macho
2014-08-09 18:28:00,Transfer,Cat,Siamese Mix,Flame Point,14,No,Hembra
2013-11-22 18:51:00,Return to Owner,Dog,Brittany,White/Brown,2555,Si,Macho
2013-10-31 18:02:00,Adoption,Dog,Australian Shepherd Mix,Black/Tan,1825,Si,Hembra
2014-05-26 18:12:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby,300,No,Hembra
2014-01-19 17:35:00,Transfer,Cat,Domestic Longhair Mix,Black,300,Desconocido,Desconocido
2014-09-27 15:09:00,Adoption,Dog,Labrador Retriever Mix,Brown/White,150,Si,Macho
2014-06-08 16:53:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby/White,330,Si,Macho
2014-09-20 11:19:00,Adoption,Dog,Pit Bull Mix,Tan/White,1095,Si,Hembra
2013-12-23 17:22:00,Return to Owner,Dog,Pit Bull Mix,Brown/White,365,No,Hembra
2013-12-27 14:28:00,Adoption,Dog,Chihuahua Shorthair Mix,White,150,Si,Hembra
2013-12-06 16:34:00,Transfer,Dog,Australian Cattle Dog Mix,Black/White,60,No,Hembra
2014-11-15 17:02:00,Return to Owner,Dog,Australian Shepherd Mix,White/Brown,210,Si,Hembra
2014-01-30 16:11:00,Adoption,Cat,Domestic Shorthair Mix,Black,365,Si,Macho
2013-10-19 17:04:00,Adoption,Dog,Chihuahua Shorthair Mix,Black,60,Si,Hembra
2014-01-03 17:19:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby,365,Desconocido,Desconocido
2014-11-28 14:55:00,Adoption,Cat,Domestic Shorthair Mix,Torbie,60,Si,Hembra
2014-03-25 11:33:00,Euthanasia,Dog,Pit Bull Mix,Brown Brindle/White,1460,Si,Hembra
2014-08-15 17:01:00,Return to Owner,Dog,Pointer/Labrador Retriever,Brown/White,60,Si,Hembra
2013-11-01 19:07:00,Adoption,Dog,Australian Cattle Dog Mix,Red Tick/Brown Merle,60,No,Hembra
2014-07-26 17:32:00,Adoption,Dog,Chihuahua Shorthair Mix,Black/Tan,1460,Si,Hembra
2014-09-17 14:06:00,Transfer,Cat,Domestic Longhair Mix,Orange Tabby,1095,Si,Macho
2013-11-25 18:38:00,Transfer,Dog,Labrador Retriever Mix,Black,180,No,Hembra
2013-11-18 17:31:00,Return to Owner,Cat,Domestic Shorthair Mix,White/Orange Tabby,2920,Si,Macho
2014-11-29 17:59:00,Transfer,Dog,Pit Bull Mix,Red/White,1460,Si,Macho
2014-09-29 17:49:00,Adoption,Dog,Bull Terrier Mix,White/Black,210,Si,Macho
2014-05-14 18:54:00,Adoption,Dog,Labrador Retriever Mix,Chocolate/White,365,Si,Macho
2014-02-10 12:24:00,Return to Owner,Dog,Pit Bull Mix,Tan/White,1095,Si,Hembra
2014-04-05 13:21:00,Transfer,Dog,Whippet Mix,Black,120,Si,Macho
2014-09-01 14:11:00,Adoption,Cat,Domestic Shorthair Mix,Blue,180,Si,Hembra
2014-04-02 15:48:00,Adoption,Dog,Dachshund Wirehair Mix,Tricolor,1095,Si,Hembra
2014-08-06 14:23:00,Transfer,Cat,Domestic Shorthair Mix,Black/White,30,No,Hembra
2014-02-21 18:47:00,Transfer,Dog,German Shorthair Pointer Mix,Black/Blue Merle,730,Si,Macho
2014-08-30 09:00:00,Transfer,Cat,Siamese Mix,Seal Point,150,No,Macho
2014-02-03 17:19:00,Return to Owner,Dog,Pit Bull Mix,Blue/White,730,Si,Hembra
2014-06-30 18:17:00,Adoption,Cat,Domestic Shorthair Mix,Torbie,60,Si,Hembra
2014-04-20 16:21:00,Return to Owner,Dog,Beagle Mix,White/Tan,3285,Si,Hembra
2014-06-11 17:11:00,Transfer,Cat,Domestic Shorthair Mix,Blue/White,14,Desconocido,Desconocido
2014-07-08 11:16:00,Adoption,Cat,Domestic Shorthair Mix,Blue Tabby/White,60,Si,Macho
2014-05-05 15:16:00,Transfer,Dog,Pembroke Welsh Corgi/Australian Cattle Dog,Tan/White,730,Si,Hembra
2014-02-19 11:48:00,Euthanasia,Other,Bat,Brown/Black,365,Desconocido,Desconocido
2014-07-08 17:01:00,Euthanasia,Cat,Domestic Shorthair Mix,Blue,30,No,Macho
2014-01-22 17:41:00,Adoption,Dog,Chihuahua Shorthair/Dachshund,White/Black,120,Si,Hembra
2014-04-27 12:07:00,Transfer,Cat,Domestic Shorthair Mix,Black/White,14,Desconocido,Desconocido
2014-04-26 15:43:00,Adoption,Cat,Domestic Medium Hair Mix,Orange Tabby,60,No,Macho
2014-08-03 16:10:00,Adoption,Cat,Domestic Shorthair Mix,Tortie,60,Si,Hembra
2014-09-12 17:29:00,Adoption,Dog,Australian Cattle Dog Mix,Red Merle/White,730,Si,Hembra
2014-12-17 09:00:00,Transfer,Cat,Domestic Shorthair Mix,Calico,180,No,Hembra
2013-12-01 18:09:00,Adoption,Dog,Great Pyrenees Mix,White,1095,Si,Macho
2014-06-01 11:11:00,Transfer,Dog,Pit Bull Mix,Brown/White,2190,Si,Hembra
2014-05-19 12:49:00,Transfer,Dog,Lhasa Apso Mix,Brown/White,2555,Si,Macho
2014-05-21 12:25:00,Euthanasia,Other,Raccoon Mix,Black/Gray,1095,Desconocido,Desconocido
2014-08-23 17:04:00,Return to Owner,Dog,Tibetan Spaniel Mix,White/Buff,1095,Si,Macho
2014-06-15 15:48:00,Adoption,Cat,Domestic Medium Hair Mix,Cream Tabby,60,Si,Hembra
2014-07-27 11:45:00,Adoption,Dog,Chihuahua Shorthair Mix,Brown,30,Si,Hembra
2013-10-17 13:32:00,Return to Owner,Dog,Blue Lacy Mix,Tan,3285,Si,Hembra
2014-06-19 17:11:00,Transfer,Dog,Labrador Retriever Mix,Black/Tan,60,No,Macho
2013-10-16 17:08:00,Adoption,Dog,Miniature Poodle Mix,Apricot,1825,Si,Macho
2014-02-13 19:03:00,Return to Owner,Dog,Pointer Mix,White/Black,365,Si,Hembra
2013-10-02 18:58:00,Adoption,Dog,Bulldog/Australian Cattle Dog,Black/White,240,Si,Hembra
2014-04-01 11:14:00,Return to Owner,Dog,Yorkshire Terrier Mix,Tan/Silver,4745,No,Hembra
2013-10-26 17:41:00,Return to Owner,Dog,Bullmastiff Mix,Brown Brindle/White,1825,Si,Macho
2014-03-01 17:25:00,Euthanasia,Other,Bat,Brown/Black,28,Desconocido,Desconocido
2013-11-19 18:58:00,Transfer,Dog,German Shepherd Mix,Black/Tan,30,No,Macho
2014-11-08 07:31:00,Adoption,Dog,Staffordshire Mix,Chocolate/White,1095,Si,Hembra
2014-07-06 16:51:00,Adoption,Dog,Manchester Terrier/Beagle,Black/Brown,365,Si,Macho
2014-07-13 16:48:00,Adoption,Dog,Chihuahua Shorthair Mix,Tan/White,365,Si,Macho
2014-04-23 17:13:00,Return to Owner,Dog,Rottweiler,Black/Brown,4015,Si,Macho
2014-01-11 13:25:00,Adoption,Dog,Doberman Pinsch Mix,Brown/Tan,330,Si,Hembra
2014-05-31 16:31:00,Transfer,Dog,German Shepherd,Black/Tan,60,No,Hembra
2013-10-27 16:30:00,Transfer,Dog,Chihuahua Shorthair Mix,White/Chocolate,60,Si,Macho
2014-11-25 18:37:00,Transfer,Cat,Domestic Shorthair Mix,Calico,730,Si,Hembra
2014-04-18 12:53:00,Euthanasia,Other,Raccoon,Black/Gray,365,No,Macho
2014-08-30 11:42:00,Return to Owner,Dog,Labrador Retriever Mix,Chocolate,730,Si,Macho
2013-12-15 18:01:00,Euthanasia,Other,Raccoon Mix,Black/Gray,730,Desconocido,Desconocido
2014-09-20 11:52:00,Return to Owner,Cat,Domestic Shorthair Mix,Tortie,120,Si,Hembra
2014-11-03 10:35:00,Return to Owner,Dog,Boxer Mix,Brown Brindle,730,Si,Hembra
2014-11-20 11:06:00,Return to Owner,Dog,Miniature Poodle Mix,White,1095,Si,Hembra
2013-10-10 17:31:00,Adoption,Dog,Chihuahua Shorthair Mix,Black/Tan,60,Si,Hembra
2014-03-03 15:52:00,Transfer,Dog,Australian Kelpie,Brown/White,150,Si,Macho
2014-10-05 15:10:00,Transfer,Cat,Domestic Shorthair Mix,Torbie,30,No,Hembra
2013-10-13 18:51:00,Adoption,Cat,Manx Mix,Brown Tabby/White,90,No,Macho
2014-09-03 13:51:00,Transfer,Dog,Miniature Schnauzer/Miniature Poodle,Black,180,Si,Hembra
2014-01-21 13:14:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby,365,Si,Macho
2014-03-14 18:37:00,Adoption,Dog,Labrador Retriever/Pit Bull,Yellow,150,Si,Hembra
2014-05-21 17:37:00,Transfer,Cat,Domestic Medium Hair Mix,Brown Tabby,30,No,Macho
2014-05-09 13:11:00,Transfer,Dog,Labrador Retriever/Border Collie,Black/White,365,No,Hembra
2014-02-12 18:34:00,Adoption,Cat,Siamese Mix,Lynx Point,5840,Si,Hembra
2014-01-01 18:45:00,Adoption,Dog,Rottweiler/Labrador Retriever,Black/Tan,365,Si,Hembra
2014-04-20 18:34:00,Adoption,Dog,Chihuahua Shorthair Mix,White/Brown,365,Si,Hembra
2014-02-04 12:50:00,Adoption,Dog,Border Terrier Mix,Gold,365,Si,Macho
2014-08-10 18:57:00,Return to Owner,Dog,Labrador Retriever Mix,Tan,4745,Si,Hembra
2013-12-20 11:34:00,Transfer,Dog,Miniature Poodle Mix,Brown,2920,Si,Hembra
2014-09-15 17:01:00,Return to Owner,Dog,Collie Smooth/Labrador Retriever,Brown/White,730,Si,Macho
2013-12-24 15:33:00,Adoption,Dog,Anatol Shepherd Mix,Tricolor,300,Si,Macho
2014-07-27 12:26:00,Adoption,Dog,Labrador Retriever,Black,300,Si,Macho
2014-07-11 18:54:00,Adoption,Cat,Domestic Longhair Mix,Blue/White,60,Si,Macho
2013-10-26 14:43:00,Return to Owner,Dog,Chihuahua Shorthair/Cardigan Welsh Corgi,White/Tan,1825,Si,Hembra
2014-08-09 12:27:00,Return to Owner,Dog,Beagle Mix,Tricolor,1460,Si,Hembra
2013-12-28 15:18:00,Transfer,Dog,Leonberger Mix,Tan/White,60,No,Macho
2014-12-15 17:04:00,Return to Owner,Cat,Siamese Mix,Lynx Point,1460,Si,Hembra
2014-06-15 18:47:00,Adoption,Dog,Australian Shepherd/Border Collie,Sable/White,60,Si,Macho
2014-07-16 17:37:00,Adoption,Dog,Boxer Mix,White,365,Si,Hembra
2014-09-17 18:26:00,Adoption,Cat,Domestic Medium Hair Mix,Calico,60,Si,Hembra
2014-10-01 18:43:00,Adoption,Dog,Miniature Schnauzer/Miniature Poodle,White,730,Si,Macho
2014-08-06 17:43:00,Return to Owner,Dog,Finnish Spitz Mix,Brown/Tan,365,No,Macho
2013-12-15 19:10:00,Adoption,Cat,Domestic Shorthair Mix,Black,90,Si,Hembra
2014-08-12 19:12:00,Return to Owner,Dog,German Shepherd Mix,Black/White,365,Si,Hembra
2014-11-27 11:52:00,Adoption,Dog,Pit Bull Mix,Black/White,1095,Si,Hembra
2013-11-11 17:57:00,Adoption,Dog,Chihuahua Shorthair Mix,Black/Tricolor,730,Si,Hembra
2014-11-05 15:47:00,Return to Owner,Cat,Domestic Shorthair Mix,Blue Tabby,1095,Si,Macho
2014-11-12 12:58:00,Adoption,Cat,Domestic Shorthair Mix,Cream Tabby,2190,Si,Macho
2013-11-04 14:32:00,Transfer,Dog,Anatol Shepherd/Labrador Retriever,Brown,1095,Si,Hembra
2014-11-22 18:49:00,Adoption,Dog,Pointer Mix,Black/White,150,Si,Macho
2014-12-18 14:29:00,Adoption,Cat,Domestic Longhair Mix,Brown Tabby,90,No,Macho
2014-10-30 10:37:00,Transfer,Cat,Domestic Shorthair Mix,Cream Tabby,21,Desconocido,Desconocido
2014-05-20 09:52:00,Died,Cat,Domestic Shorthair Mix,Torbie,30,No,Hembra
